SourceSystem,FinalFinanceDestinations,TimeZone,SiteCode,ActionKey,StepKey,Enabled,ConType,ConnectionID,ConName,ConStr,dbName,CtrlMethod,EnrollCutoff,ContractDate,ClinicName,IsActive,IsNewSchema,SrcSchema,FromTblVw,DsnSchema,DsnTbl,WhereCondition,SortOrder,ReInitialize,SchemaVersion,CompKey,RowTrax
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B42B,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-FranklinV5;,SAMMS-FranklinV5,Select,2018-12-19,NULL,Franklin,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B42B-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B42C,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-GlenAllenV5;,SAMMS-GlenAllenV5,Select,2019-07-17,NULL,Glen Allen,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B42C-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B42D,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-ChesapeakeSouthV5;,SAMMS-ChesapeakeSouthV5,Select,2019-06-11,NULL,Chesapeake South,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B42D-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B44,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-AlbanyV5;,SAMMS-AlbanyV5,Select,2017-06-19,NULL,Albany,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B44-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B45,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-TiftonV5;,SAMMS-TiftonV5,Select,2017-06-19,NULL,Tifton,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B45-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B46,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-WashingtonDCv5;,SAMMS-WashingtonDCv5,Select,2019-03-20,NULL,Washington DC,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B46-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B47,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-MobileV5;,SAMMS-MobileV5,Select,2019-09-10,NULL,Mobile,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B47-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B48,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-TuscaloosaV5;,SAMMS-TuscaloosaV5,Select,2017-11-19,NULL,Tuscaloosa,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B48-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B51,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-NorthLittleRockV6;,SAMMS-NorthLittleRockV6,Select,2019-11-15,NULL,N. Little Rock (OTP),1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B51-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B52,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-JacksonGAV5;,SAMMS-JacksonGAV5,Select,2018-06-01,NULL,Jackson GA,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B52-1-30,NULL
