SchemaName,TableName,ColumnName,OrdinalPosition,DataType,MaxLength,NumericPrecision,NumericScale,IsNullable,ColumnDefault
pats,tbl_Claims,f15firstdate,20,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f16dateunableend,21,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f10auto,22,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcStrPrimary,23,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Claims,f10employ,24,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f10local,25,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f11insanother,26,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f11insdob,27,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f11insemploy,28,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f16dateunablestart,29,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f17refername,30,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f17refernpi,31,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f18datehospend,32,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f18datehospstart,33,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f19local,34,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f1id,35,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f20outsidelab,36,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f21diag1,37,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f21diag2,38,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f21diag3,39,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f21diag4,40,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f22medresub,41,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f23priorauth,42,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f25taxid,43,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f26account,44,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f27assign,45,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f28totalcharge,46,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f29amtpaid,47,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f2name,48,varchar,50,NULL,NULL,YES,NULL
