SourceSystem	SchemaName	TableName	ColumnName	OrdinalPosition	DataType	MaxLength	NumericPrecision	NumericScale	IsNullable
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckMaternalGrandfather	76	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckMaternalAunt	77	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckMaternalUncle	78	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckMaternalCousins	79	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckPaternalGrandmother	80	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckPaternalGrandfather	81	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckPaternalAunt	82	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckPaternalUncle	83	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckPaternalCousins	84	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckVisuallyShowMe	85	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckVerballyExplainItToMe	86	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckPersonalExperience	87	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckTactilelyHandsOn	88	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckTalkItThrough	89	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckNoOne	90	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckImmediateFamily	91	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckExtendedFamily	92	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckCloseFriendsOnly	93	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckFriends	94	bit	NULL	NULL	NULL	YES
