TaskConfigId	ConfigId	TaskName	Endpoint	Method	SourceTable	PaginationEnabled	PaginationParam	LoadType	IsIncremental	WatermarkColumn	LookbackDays	TargetSchema	TargetTable	TargetPath	ExecutionOrder	RetryCount	TimeoutSeconds	RequestBody	DependencyTaskConfigId	IsActive	CreatedAt	CreatedBy	ModifiedAt	ModifiedBy	AuthType	SiteCode	DataBaseName	SiteName	ScheduleFrequency	ScheduleExpression	LastRunDate
12626	123	Assessments Bronze - SavePA - B46	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B46	SAMMS-WashingtonDCv5	WashingtonDC	NULL	NULL	NULL
12627	123	Assessments Bronze - SavePA - B47	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B47	SAMMS-MobileV5	Mobile	NULL	NULL	NULL
12628	123	Assessments Bronze - SavePA - B48	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B48	SAMMS-TuscaloosaV5	Tuscaloosa	NULL	NULL	NULL
12629	123	Assessments Bronze - SavePA - B51	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B51	SAMMS-NorthLittleRockV6	NorthLittleRock	NULL	NULL	NULL
12630	123	Assessments Bronze - SavePA - B52	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B52	SAMMS-JacksonGAV5	JacksonGA	NULL	NULL	NULL
12631	123	Assessments Bronze - SavePA - B54	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B54	SAMMS-GadsdenV5	Gadsden	NULL	NULL	NULL
12632	123	Assessments Bronze - SavePA - B55	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B55	SAMMS-ShoalsV5	Shoals	NULL	NULL	NULL
12633	123	Assessments Bronze - SavePA - B57	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B57	SAMMS-Pawtucket	Pawtucket	NULL	NULL	NULL
12634	123	Assessments Bronze - SavePA - B57A	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B57A	SAMMS-Johnston	Johnston	NULL	NULL	NULL
12635	123	Assessments Bronze - SavePA - B57B	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B57B	SAMMS-Middletown	Middletown	NULL	NULL	NULL
12636	123	Assessments Bronze - SavePA - B57C	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B57C	SAMMS-Providence	Providence	NULL	NULL	NULL
12637	123	Assessments Bronze - SavePA - B57D	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B57D	SAMMS-Westerly	Westerly	NULL	NULL	NULL
12638	123	Assessments Bronze - SavePA - B66A	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B66A	SAMMS-Bremen	Bremen	NULL	NULL	NULL
12639	123	Assessments Bronze - SavePA - B72	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B72	SAMMS-Mobile-OBOT	Mobile-OBOT	NULL	NULL	NULL
12640	123	Assessments Bronze - SavePA - B73	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B73	SAMMS-Montgomery	Montgomery	NULL	NULL	NULL
12641	123	Assessments Bronze - SavePA - B75	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B75	SAMMS-LawrenceV6	Lawrence	NULL	NULL	NULL
12642	123	Assessments Bronze - SavePA - B76	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B76	SAMMS-Huntsville-OBOT	Huntsville-OBOT	NULL	NULL	NULL
12643	123	Assessments Bronze - SavePA - BAT	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	BAT	SAMMS-Batesville	Batesville	NULL	NULL	NULL
12644	123	Assessments Bronze - SavePA - BG	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	BG	SAMMS-BowlingGreen	BowlingGreen	NULL	NULL	NULL
12645	123	Assessments Bronze - SavePA - BOI	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	BOI	SAMMS-Boise	Boise	NULL	NULL	NULL
12646	123	Assessments Bronze - SavePA - CBCO	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	CBCO	SAMMS-CoeurdAleneV6	CoeurdAlene	NULL	NULL	NULL
12647	123	Assessments Bronze - SavePA - CON	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	CON	SAMMS-Conway	Conway	NULL	NULL	NULL
12648	123	Assessments Bronze - SavePA - D07	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	D07	SAMMS-KnoxvilleV6	Knoxville	NULL	NULL	NULL
12649	123	Assessments Bronze - SavePA - D08	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	D08	SAMMS-MadisonV6	Madison	NULL	NULL	NULL
12650	123	Assessments Bronze - SavePA - D09	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	D09	SAMMS-MurfreesboroV6	Murfreesboro	NULL	NULL	NULL
12651	123	Assessments Bronze - SavePA - DA	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	DA	SAMMS-Davenport	Davenport	NULL	NULL	NULL
12652	123	Assessments Bronze - SavePA - DM	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	DM	SAMMS-DesMoines	DesMoines	NULL	NULL	NULL
12653	123	Assessments Bronze - SavePA - DRD-CO	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	DRD-CO	SAMMS-ColumbiaV5	Columbia	NULL	NULL	NULL
12654	123	Assessments Bronze - SavePA - DRD-KC	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	DRD-KC	SAMMS-KCv5	KC	NULL	NULL	NULL
