ConfigId	ConfigName	PipelineName	PipelinePath	TransformationModule	SourceSystem	SourceType	TargetName	EnvironmentName	PipelineDependency	ExecutionSequence	TriggerType	TriggerFrequency	TriggeredBy	IsActive	ConnectionConfig	CreatedAt	CreatedBy	ModifiedAt	ModifiedBy
18	SAMMS Orders Bronze	pl_SaveOrders	/pipelines/pl_SaveOrders	NULL	SAMMS	DATA BASE	BR	DEV	NULL	1	SCHEDULE	DAILY	Fabric	1	{"TargetTable":"bhg_bronze.order.brz_Orders"}	2026-06-08 22:13:42.505611	Joel	2026-08-03 10:34:19.311986	Joel
20	SAMMS Orders Gold	pl_SaveOrders	/pipelines/pl_SaveOrders	Versioned Gold Publish	Silver	DATA BASE	GL	DEV	nb_SaveOrders_brz_to_sl	3	SCHEDULE	DAILY	Fabric	1	{"SourceTable":"bhg_silver.pats.slv_Orders","TargetTable":"bhg_gold.pats.Orders","LoadType":"Versioned Gold Load","Rollback":"Enabled"}	2026-06-08 22:14:43.944467	Joel	2026-08-03 10:34:19.311986	Joel
19	SAMMS Orders Silver	pl_SaveOrders	/pipelines/pl_SaveOrders	NULL	Bronze	DATA BASE	SL	DEV	nb_SaveOrders_src_to_brz	2	SCHEDULE	DAILY	Fabric	1	{"SourceTable":"bhg_bronze.order.brz_Orders","TargetTable":"bhg_silver.pats.slv_Orders","LoadType":"Incremental"}	2026-06-08 22:14:08.636166	Joel	2026-08-03 10:34:19.311986	Joel





taskconfig


TaskConfigId	ConfigId	TaskName	Endpoint	Method	SourceTable	PaginationEnabled	PaginationParam	LoadType	IsIncremental	WatermarkColumn	LookbackDays	TargetSchema	TargetTable	TargetPath	ExecutionOrder	RetryCount	TimeoutSeconds	RequestBody	DependencyTaskConfigId	IsActive	CreatedAt	CreatedBy	ModifiedAt	ModifiedBy	AuthType	SiteCode	DataBaseName	SiteName
51029	18	Orders Bronze - B48	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B48	SAMMS-TuscaloosaV5	Tuscaloosa
51030	18	Orders Bronze - B51	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B51	SAMMS-NorthLittleRockV6	NorthLittleRock
51031	18	Orders Bronze - B52	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B52	SAMMS-JacksonGAV5	JacksonGA
51032	18	Orders Bronze - B54	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B54	SAMMS-GadsdenV5	Gadsden
51033	18	Orders Bronze - B55	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B55	SAMMS-ShoalsV5	Shoals
51034	18	Orders Bronze - B57	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B57	SAMMS-Pawtucket	Pawtucket
51035	18	Orders Bronze - B57A	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B57A	SAMMS-Johnston	Johnston
51036	18	Orders Bronze - B57B	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B57B	SAMMS-Middletown	Middletown
51037	18	Orders Bronze - B57C	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B57C	SAMMS-Providence	Providence
51038	18	Orders Bronze - B57D	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B57D	SAMMS-Westerly	Westerly
51039	18	Orders Bronze - B66A	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B66A	SAMMS-Bremen	Bremen
51040	18	Orders Bronze - B72	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B72	SAMMS-Mobile-OBOT	Mobile-OBOT
